Removed Pin From Net: NetName=NetR?_1 Pin=R?-1
Removed Pin From Net: NetName=NetQ?_3 Pin=R?-2
Removed Pin From Net: NetName=NetR?_1 Pin=U?-6
Added Component: Designator=U?(On_Semiconductor_751B-05_IPC_B)
Added Component: Designator=U?(On_Semiconductor_751B-05_IPC_B)
Added Component: Designator=U?(On_Semiconductor_751B-05_MFG)
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=NetC?_2 Pin=R?-1
Added Pin To Net: NetName=NetR?_1 Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-2
Added Pin To Net: NetName=NetQ?_3 Pin=R?-2
Added Pin To Net: NetName=NetR?_1 Pin=R?-2
Added Pin To Net: NetName=NetR?_1 Pin=TP?-1
Added Pin To Net: NetName=NetR?_1 Pin=VT?-1
Added Pin To Net: NetName=NetR?_1 Pin=VT?-1
Added Pin To Net: NetName=+5 Pin=U?-16
Added Net: Name=+5
Added Pin To Net: NetName=NetLCD?_4 Pin=LCD?-4
Added Pin To Net: NetName=NetLCD?_4 Pin=U?-15
Added Net: Name=NetLCD?_4
Added Pin To Net: NetName=NetLCD?_5 Pin=LCD?-5
Added Pin To Net: NetName=NetLCD?_5 Pin=U?-1
Added Net: Name=NetLCD?_5
Added Pin To Net: NetName=NetLCD?_6 Pin=LCD?-6
Added Pin To Net: NetName=NetLCD?_6 Pin=U?-2
Added Net: Name=NetLCD?_6
Added Pin To Net: NetName=NetLCD?_7 Pin=LCD?-7
Added Pin To Net: NetName=NetLCD?_7 Pin=U?-3
Added Net: Name=NetLCD?_7
Added Pin To Net: NetName=NetLCD?_8 Pin=LCD?-8
Added Pin To Net: NetName=NetLCD?_8 Pin=U?-4
Added Net: Name=NetLCD?_8
Added Pin To Net: NetName=NetLCD?_9 Pin=LCD?-9
Added Pin To Net: NetName=NetLCD?_9 Pin=U?-5
Added Net: Name=NetLCD?_9
Added Pin To Net: NetName=NetLCD?_10 Pin=LCD?-10
Added Pin To Net: NetName=NetLCD?_10 Pin=U?-6
Added Net: Name=NetLCD?_10
Added Pin To Net: NetName=NetU?_9 Pin=U?-9
Added Pin To Net: NetName=NetU?_9 Pin=U?-14
Added Net: Name=NetU?_9
Added Member To Class: ClassName=Logger Member=Component B? IR2101SPBF
Added Member To Class: ClassName=Logger Member=Component C? Cap_Vishay_MAL219390101E3_eec
Added Member To Class: ClassName=Logger Member=Component C? Cap_Vishay_MAL219390101E3_eec
Added Member To Class: ClassName=Logger Member=Component C? 1000pF
Added Member To Class: ClassName=Logger Member=Component C? 1uF
Added Member To Class: ClassName=Logger Member=Component D? 1N4148W-7-F
Added Member To Class: ClassName=Logger Member=Component J? 691101710002
Added Member To Class: ClassName=Logger Member=Component P? 61900811021
Added Member To Class: ClassName=Logger Member=Component Q? IRF740PBF
Added Member To Class: ClassName=Logger Member=Component Q? IRF740PBF
Added Member To Class: ClassName=Logger Member=Component Q? IRF740PBF
Added Member To Class: ClassName=Logger Member=Component Q? IRF740PBF
Added Member To Class: ClassName=Logger Member=Component Q? IRF740PBF
Added Member To Class: ClassName=Logger Member=Component Q? IRF740PBF
Added Member To Class: ClassName=Logger Member=Component Q? IRF740PBF
Added Member To Class: ClassName=Logger Member=Component R? 22
Added Member To Class: ClassName=Logger Member=Component R? 22
Added Member To Class: ClassName=Logger Member=Component R? 22
Added Member To Class: ClassName=Logger Member=Component R? 10k
Added Member To Class: ClassName=Logger Member=Component R? 10
Added Member To Class: ClassName=Logger Member=Component R? 10
Added Member To Class: ClassName=Logger Member=Component R? CRCW06030000Z0EA
Added Member To Class: ClassName=Logger Member=Component R? 22
Added Member To Class: ClassName=Logger Member=Component R? CRCW20101R00FKEF
Added Member To Class: ClassName=Logger Member=Component R? CRCW06030000Z0EA
Added Member To Class: ClassName=Logger Member=Component R? RC0603FR-074K99L
Added Member To Class: ClassName=Logger Member=Component R? 22
Added Member To Class: ClassName=Logger Member=Component R? 10
Added Member To Class: ClassName=Logger Member=Component R? 10k
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component TP? Test_Point_PCB
Added Member To Class: ClassName=Logger Member=Component U? STM32F405RGT6
Added Member To Class: ClassName=Logger Member=Component U? LT1117CST-5#PBF
Added Member To Class: ClassName=Logger Member=Component U? MC74HC595ADG
Added Member To Class: ClassName=Logger Member=Component U? MC74HC595ADG
Added Member To Class: ClassName=Logger Member=Component U? STM32F405RGT6
Added Member To Class: ClassName=Logger Member=Component U? TL494ID
Added Member To Class: ClassName=Logger Member=Component VT? PMBTA06
Added Member To Class: ClassName=Logger Member=Component VT? PMBTA06
Added Member To Class: ClassName=Logger Member=Component VT? MMBT2907
